EVENT_ID,EVENT_NAME,SITE_ID,START_DATE,END_DATE,EXPECTED_ATTENDANCE,STATE
E1,Sankranti,S1,2025-01-14,2025-01-16,100000,Andhra Pradesh
E2,Ugadi,S1,2025-03-30,2025-03-30,50000,Andhra Pradesh
E3,Losar,S3,2025-02-28,2025-03-02,5000,Arunachal Pradesh
E4,Nyokum,S4,2025-02-26,2025-02-26,3000,Arunachal Pradesh
E5,Bihu,S5,2025-04-14,2025-04-16,80000,Assam
E6,Ambubachi Mela,S6,2025-06-22,2025-06-26,50000,Assam
E7,Chhath Puja,S7,2025-11-07,2025-11-10,100000,Bihar
E8,Buddha Purnima,S7,2025-05-12,2025-05-12,30000,Bihar
E9,Bastar Dussehra,S57,2025-10-02,2025-10-12,20000,Chhattisgarh
E10,Chakradhar Samaroh,S9,2025-09-10,2025-09-12,10000,Chhattisgarh
E11,Goa Carnival,S58,2025-02-15,2025-02-18,50000,Goa
E12,Shigmo Festival,S11,2025-03-15,2025-03-20,30000,Goa
E13,Navratri,S13,2025-09-23,2025-10-01,60000,Gujarat
E14,Kutch Festival,S13,2025-12-01,2025-12-15,40000,Gujarat
E15,Teej Festival,S15,2025-08-05,2025-08-07,15000,Haryana
E16,Surajkund Mela,S15,2025-02-01,2025-02-15,20000,Haryana
E17,Kullu Dussehra,S17,2025-10-02,2025-10-09,25000,Himachal Pradesh
E18,Lavi Fair,S17,2025-11-11,2025-11-14,10000,Himachal Pradesh
E19,Sarhul,S19,2025-03-21,2025-03-23,8000,Jharkhand
E20,Karma Festival,S19,2025-09-01,2025-09-03,6000,Jharkhand
E21,Hampi Utsav,S21,2025-02-15,2025-02-20,30000,Karnataka
E22,Dasara Festival,S22,2025-10-02,2025-10-12,50000,Karnataka
E23,Onam,S23,2025-08-30,2025-09-08,40000,Kerala
E24,Thrissur Pooram,S23,2025-04-15,2025-04-15,30000,Kerala
E25,Khajuraho Dance Festival,S25,2025-02-20,2025-02-25,20000,Madhya Pradesh
E26,Tansen Samaroh,S25,2025-12-15,2025-12-20,15000,Madhya Pradesh
E27,Ganesh Chaturthi,S28,2025-08-27,2025-09-05,100000,Maharashtra
E28,Pune Festival,S27,2025-09-01,2025-09-10,25000,Maharashtra
E29,Yaoshang Festival,S29,2025-03-15,2025-03-20,10000,Manipur
E30,Ningol Chakouba,S29,2025-11-05,2025-11-05,8000,Manipur
E31,Shad Suk Mynsiem,S31,2025-04-10,2025-04-12,6000,Meghalaya
E32,Wangala Festival,S31,2025-11-08,2025-11-10,5000,Meghalaya
E33,Chapchar Kut,S33,2025-03-07,2025-03-07,4000,Mizoram
E34,Mim Kut,S33,2025-09-01,2025-09-01,3000,Mizoram
E35,Hornbill Festival,S35,2025-12-01,2025-12-10,20000,Nagaland
E36,Aoling Festival,S35,2025-04-01,2025-04-07,5000,Nagaland
E37,Rath Yatra,S37,2025-07-07,2025-07-15,100000,Odisha
E38,Konark Dance Festival,S38,2025-12-05,2025-12-10,25000,Odisha
E39,Baisakhi,S39,2025-04-14,2025-04-14,80000,Punjab
E40,Lohri,S39,2025-01-13,2025-01-13,40000,Punjab
E41,Pushkar Camel Fair,S42,2025-11-01,2025-11-10,150000,Rajasthan
E42,Teej Festival,S41,2025-08-05,2025-08-07,30000,Rajasthan
E43,Losar Festival,S43,2025-02-28,2025-03-02,7000,Sikkim
E44,Pang Lhabsol,S43,2025-09-01,2025-09-03,5000,Sikkim
E45,Pongal,S45,2025-01-14,2025-01-17,60000,Tamil Nadu
E46,Chithirai Festival,S45,2025-04-14,2025-04-23,40000,Tamil Nadu
E47,Bonalu,S47,2025-07-15,2025-07-30,50000,Telangana
E48,Bathukamma,S47,2025-09-23,2025-10-01,40000,Telangana
E49,Taj Mahotsav,S49,2025-02-18,2025-02-28,30000,Uttar Pradesh
E50,Ganga Aarti,S50,2025-06-01,2025-06-01,20000,Uttar Pradesh
E51,Kumbh Mela,S52,2025-01-14,2025-02-26,1000000,Uttarakhand
E52,Uttarayani Mela,S51,2025-01-14,2025-01-14,15000,Uttarakhand
E53,Durga Puja,S53,2025-10-02,2025-10-06,100000,West Bengal
E54,Kalighat Festival,S53,2025-11-01,2025-11-05,30000,West Bengal
E55,Garia Puja,S55,2025-04-15,2025-04-15,5000,Tripura
E56,Kharchi Puja,S55,2025-07-01,2025-07-07,4000,Tripura
E57,Rann Utsav,S13,2025-12-01,2025-12-15,50000,Gujarat
E58,Hornbill Festival,S35,2025-12-01,2025-12-10,20000,Nagaland
